Date,CO2Flux,CO2,H2O,Temperature, Pressure,WindSpeed,HorizontalWindDirection,RotationToZeroWTheta,RotationToZeroVPhi,SensibleHeatFlux,LatentHeatFlux,FrictionVelocity
0.6170212766,-8.906511,15.452995,530.7986,13.7344675,97.20453,2.9345274,213.08261,0.108352445,33.0826,48.502983,59.38933,0.2208556
0.6382978723,-14.954673,15.1421,540.5346,15.32695,97.2012,2.4999282,220.09462,1.3338363,40.094624,50.956432,112.6385,0.24542825
0.6808510638,-10.78636,14.878521,550.2477,17.314596,97.184784,2.8056073,239.36966,0.4731265,59.36965,76.54289,124.36319,0.2680686
0.7021276596,-20.664015,14.730794,559.1386,18.367172,97.113396,3.0820913,225.78276,0.7795915,45.78276,97.978004,235.03835,0.29632524
0.7234042553,-15.169789,14.615313,562.51575,19.273293,97.093506,3.0453699,232.71059,0.84279174,52.710583,88.47254,202.41243,0.32724264
0.829787234,-15.007872,14.421503,432.85294,22.551718,96.83901,7.085215,211.63792,0.48092023,31.637922,26.398426,338.97952,0.49648762
0.4255319149,2.3209898,15.162583,512.61176,17.467632,96.28431,8.099809,188.41582,0.21397904,8.41581,-71.18142,24.17312,0.5473921
0.5106382979,2.3674254,15.269189,514.7451,16.75992,96.25019,7.5900254,190.89738,0.16668916,10.897379,-70.652725,22.964304,0.50988084
0.5319148936,0.2148452,15.275643,520.1353,16.366457,96.28074,6.7497716,186.18102,0.22293597,6.181018,-59.94649,23.81949,0.4655238
0.7659574468,-15.853027,14.353207,610.37354,22.233486,96.29347,7.163127,209.0635,0.37897614,29.06351,52.592915,284.63153,0.45896187
0.8085106383,-16.388481,14.280065,634.9389,23.269192,96.28599,7.688827,208.9596,0.45542526,28.95959,42.313385,320.37006,0.5300222
0.829787234,-15.470573,14.2420845,640.3696,23.72796,96.27974,7.510063,211.5212,0.48778802,31.52119,33.592728,312.7343,0.47862446
0,0.60704476,14.529444,654.81244,21.820583,96.306625,2.6293786,332.1786,0.37325343,152.17856,-32.17151,17.913828,0.19150366
0.3404255319,4.42538,15.328507,371.33102,14.59072,96.7679,6.3564363,29.48767,1.1291733,150.51231,-37.848347,49.42746,0.5400299
0.3829787234,2.4196365,15.294618,355.02078,14.475282,96.71493,6.235523,38.85637,0.31341186,141.14363,-12.916022,30.322577,0.5538262
0.5744680851,-2.9818661,15.363489,399.15625,12.970449,97.212234,5.950018,15.502167,1.9396718,164.49782,-29.427744,41.791298,0.49421155
0.8723404255,-13.383415,14.644564,386.75977,17.633152,97.378365,4.4502892,21.508087,1.2519528,158.49191,18.74906,154.1404,0.3804787
0.085106383,-0.2699237,15.918283,458.0341,13.65214,97.51171,2.1460454,314.36108,1.0790161,134.3611,-16.299726,-0.7433637,0.10824667
0.2765957447,-0.35151878,16.06751,389.04507,12.788817,97.53791,2.2665021,177.10406,0.40105122,2.895975,-1.4688511,-0.6778042,0.04363259
0.9574468085,-10.91505,14.344138,409.38214,19.987188,96.740974,6.408096,207.88795,0.5549669,27.887947,-32.995197,187.73837,0.43193454
0,-1.2695634,14.697237,403.6242,18.468422,96.62212,4.655038,203.00429,0.37586546,23.00429,-60.29258,31.499544,0.29911906
0.1276595745,3.0270245,15.402812,378.55978,15.993654,96.39413,5.7006392,170.14148,0.12820435,9.858525,-55.382374,38.601105,0.44068593
0.2127659574,3.3078313,15.203167,349.0199,16.078728,96.13635,6.787341,168.77686,0.059347074,11.223133,-58.297882,46.108776,0.5165491
0.2340425532,3.446986,15.135122,341.77078,16.343384,96.08896,7.365185,168.18524,0.019782357,11.814757,-66.29525,48.442474,0.54195315
0.4680851064,3.0138853,14.947936,442.2596,16.150396,95.479485,9.303886,175.09805,0,4.9019322,-80.99443,39.60125,0.6967322
0.5106382979,2.7018814,14.939872,439.12582,16.14219,95.39599,8.626437,173.31226,0.027976478,6.6877446,-82.330574,38.26594,0.6224026
0.5957446809,-10.059716,14.698373,506.4875,16.98683,95.49602,8.829895,194.81628,0.34206945,14.816284,-12.404595,95.32931,0.64109796
0.6382978723,-14.328819,14.5296955,524.05255,17.968472,95.50259,10.241341,205.89478,0.55567163,25.894775,51.315243,172.77327,0.713199
0.7021276596,-16.58965,14.302284,480.4381,18.866747,95.47942,8.21665,224.13501,0.43205422,44.13501,4.3712807,196.06015,0.64728075
0.8510638298,-4.0034614,14.319738,520.1435,18.79126,95.66874,6.7312512,310.58203,1.3831019,130.58203,22.716076,60.963287,0.5074045
0.8723404255,-13.117192,14.272948,521.3048,18.756975,95.61975,6.5506034,310.84412,1.2452135,130.84409,28.771992,146.34456,0.46415716
0.8936170213,-10.490828,14.263675,520.0787,18.778877,95.65075,6.996366,328.14743,1.4905609,148.14743,21.44343,127.46191,0.56143606
0.9574468085,-2.6255298,14.743263,461.51434,15.736295,96.00081,8.880999,322.84314,1.5311029,142.84315,4.55827,68.67911,0.6657388
0.0425531915,-0.9028653,15.301216,392.2422,12.694928,96.289474,8.624958,339.48132,1.3199735,159.48132,-13.5962925,88.33795,0.7095911
0.3191489362,3.7112637,15.527104,339.96597,9.994976,96.71236,6.5157046,357.5108,1.6571771,177.51083,-15.9767065,52.534946,0.57931143
0.4042553191,2.5820475,15.578662,348.52316,10.13034,96.7631,4.688909,342.82568,1.4935775,162.82568,-17.989647,31.621483,0.41034663
0.4468085106,2.1646733,15.597351,346.32166,10.079912,96.7853,5.1771107,336.8714,1.4695379,156.8714,-15.386907,26.70728,0.40610376
0.9574468085,-9.039691,15.1389,255.123,12.453123,97.5954,6.682907,351.9178,1.6809787,171.91782,32.44253,150.28296,0.616606
0.0638297872,-0.4829406,15.868049,261.01102,10.105942,97.784454,2.127947,310.84326,0.9245046,130.84325,-7.033562,-0.51103216,0.052656263
0.085106383,-0.29155135,16.04761,261.30978,9.880323,97.8741,2.1040654,302.49417,0.6720219,122.494156,-2.385146,-0.5311581,0.029497104
0.3191489362,1.8027195,16.075909,261.81573,8.711721,98.28616,3.65786,347.65955,1.4993314,167.65952,-47.870792,21.8543,0.32953057
